Triangularities,TBR,Error
0.05,1.579231744,0.003264378
0.1,1.579355594,0.003190613
0.15,1.579871423,0.002994531
0.2,1.58151447,0.003431562
0.25,1.582922256,0.00301763
0.3,1.584653295,0.002773345
0.35,1.585137076,0.002898085
0.4,1.583835628,0.003209038
0.45,1.584110141,0.003613411
0.5,1.586925448,0.003293241
0.55,1.586851402,0.002616798
0.6,1.585846704,0.003537094
0.65,1.587029949,0.003150822
0.7,1.587378661,0.002909077
0.75,1.5892985,0.003141309
0.8,1.592505556,0.002987503
0.85,1.593438312,0.003352857
0.9,1.593632779,0.003372688
0.95,1.591175156,0.002934467
1,1.591552805,0.002698873
